Text,Entities
Microsoft Boston.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 16}]"
"Amazon March 15, 2021.","[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 21}]"
San Francisco Paris Alice.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 19}, {'entity': 'PERSON', 'start': 20, 'end': 25}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
OpenAI Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Microsoft Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 15}]"
2024 Google OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 18}]"
2024 Sara New York.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 18}]"
January 2023 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 26}]"
Amazon Emma John.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 16}]"
Emma Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
OpenAI John Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 16}]"
Alice San Francisco Paris.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 19}, {'entity': 'LOC', 'start': 20, 'end': 25}]"
Alice San Francisco.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 19}]"
2022 2022 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'DATE', 'start': 10, 'end': 14}]"
John New York.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 13}]"
London Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 12}]"
New York Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 14}]"
London Amazon.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
OpenAI OpenAI Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 23}]"
"March 15, 2021 London Google.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 21}, {'entity': 'ORG', 'start': 22, 'end': 28}]"
OpenAI 2023 2022.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 16}]"
"March 15, 2021 Alice.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'PERSON', 'start': 15, 'end': 20}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
2022 OpenAI Tesla.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 17}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
New York OpenAI John.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'ORG', 'start': 9, 'end': 15}, {'entity': 'PERSON', 'start': 16, 'end': 20}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
San Francisco New York.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 22}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2023 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
Emma January 2023 Microsoft.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}, {'entity': 'ORG', 'start': 18, 'end': 27}]"
"Microsoft Boston March 15, 2021.","[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 16}, {'entity': 'DATE', 'start': 17, 'end': 31}]"
"Amazon Microsoft March 15, 2021.","[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}, {'entity': 'DATE', 'start': 17, 'end': 31}]"
"March 15, 2021 Emma.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'PERSON', 'start': 15, 'end': 19}]"
John Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}]"
New York London Emma.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 15}, {'entity': 'PERSON', 'start': 16, 'end': 20}]"
San Francisco Emma.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Alice January 2023 New York.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 18}, {'entity': 'LOC', 'start': 19, 'end': 27}]"
Google John Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 18}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
January 2023 New York.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 21}]"
2024 January 2023 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}, {'entity': 'DATE', 'start': 18, 'end': 22}]"
"March 15, 2021 London San Francisco.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 21}, {'entity': 'LOC', 'start': 22, 'end': 35}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2023 San Francisco Amazon.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}, {'entity': 'ORG', 'start': 19, 'end': 25}]"
Emma Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}]"
Alice Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
2023 David.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}]"
Tesla Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}]"
Tesla 2024 Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 16}]"
2022 London Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 18}]"
Paris London.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 12}]"
OpenAI 2024.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
New York Emma Emma.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'PERSON', 'start': 9, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Michael San Francisco.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'LOC', 'start': 8, 'end': 21}]"
Paris 2022 Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 20}]"
OpenAI Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 12}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
Amazon New York Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 15}, {'entity': 'ORG', 'start': 16, 'end': 25}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
"March 15, 2021 OpenAI Microsoft.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}, {'entity': 'ORG', 'start': 22, 'end': 31}]"
San Francisco San Francisco Amazon.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 27}, {'entity': 'ORG', 'start': 28, 'end': 34}]"
Alice January 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 18}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
Alice Amazon 2024.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 17}]"
2022 Paris David.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}, {'entity': 'PERSON', 'start': 11, 'end': 16}]"
"Google March 15, 2021.","[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 21}]"
Tesla Google.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
Boston Emma.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}]"
2022 John New York.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 18}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Emma Paris January 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}, {'entity': 'DATE', 'start': 11, 'end': 23}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
John Paris OpenAI.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 17}]"
Paris Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 12}]"
Sara London Paris.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 17}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
Google San Francisco.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 20}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
Amazon January 2023 New York.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 19}, {'entity': 'LOC', 'start': 20, 'end': 28}]"
Sara January 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}]"
"Sara London March 15, 2021.","[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 26}]"
Paris January 2023 Michael.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 18}, {'entity': 'PERSON', 'start': 19, 'end': 26}]"
Paris 2024 OpenAI.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 17}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
New York San Francisco New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 22}, {'entity': 'LOC', 'start': 23, 'end': 31}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Amazon Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}]"
Amazon January 2023.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 19}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
San Francisco 2022.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 18}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Emma Amazon.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
2024 Google.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
"London Emma March 15, 2021.","[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 26}]"
OpenAI David.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}]"
OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
John Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}]"
2023 January 2023 New York.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}, {'entity': 'LOC', 'start': 18, 'end': 26}]"
David Microsoft.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 15}]"
2024 2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
2023 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}]"
Emma 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
New York Amazon.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'ORG', 'start': 9, 'end': 15}]"
Paris Tesla Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 17}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
"Michael March 15, 2021.","[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'DATE', 'start': 8, 'end': 22}]"
2022 Google.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
Emma 2023 New York.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 18}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Michael New York Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'LOC', 'start': 8, 'end': 16}, {'entity': 'ORG', 'start': 17, 'end': 23}]"
Paris Microsoft San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 15}, {'entity': 'LOC', 'start': 16, 'end': 29}]"
OpenAI Paris OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}]"
David January 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 18}]"
Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 5}]"
Microsoft Sara Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'PERSON', 'start': 10, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 20}]"
San Francisco Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 23}]"
2024 January 2023 2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}, {'entity': 'DATE', 'start': 18, 'end': 22}]"
2022 Paris.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}]"
Amazon January 2023 Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 19}, {'entity': 'ORG', 'start': 20, 'end': 29}]"
London Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 13}]"
Boston Emma Sara.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 16}]"
2022 David Emma.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}, {'entity': 'PERSON', 'start': 11, 'end': 15}]"
Tesla Michael Alice.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 19}]"
"March 15, 2021 January 2023.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'DATE', 'start': 15, 'end': 27}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
San Francisco London Michael.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 20}, {'entity': 'PERSON', 'start': 21, 'end': 28}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
2022 David.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
2022 Michael January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 25}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Alice Sara Amazon.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 17}]"
"Emma March 15, 2021 2022.","[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 19}, {'entity': 'DATE', 'start': 20, 'end': 24}]"
2024 Alice.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
Tesla Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}]"
"John Paris March 15, 2021.","[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}, {'entity': 'DATE', 'start': 11, 'end': 25}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
OpenAI 2022 Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 17}]"
2022 John.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}]"
Google 2023 Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 16}]"
London Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}]"
Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 5}]"
Microsoft Paris Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 15}, {'entity': 'LOC', 'start': 16, 'end': 21}]"
London Michael.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 14}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2022 Microsoft.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 14}]"
Paris Sara London.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}, {'entity': 'LOC', 'start': 11, 'end': 17}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
2022 Boston Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 18}]"
"Sara March 15, 2021 Sara.","[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 19}, {'entity': 'PERSON', 'start': 20, 'end': 24}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
2023 Emma.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}]"
2024 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
New York Sara.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'PERSON', 'start': 9, 'end': 13}]"
"2024 Sara March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'DATE', 'start': 10, 'end': 24}]"
David David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 11}]"
Paris 2023 Michael.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'PERSON', 'start': 11, 'end': 18}]"
Tesla 2024.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}]"
New York OpenAI.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'ORG', 'start': 9, 'end': 15}]"
Sara Emma Tesla.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'ORG', 'start': 10, 'end': 15}]"
Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
London OpenAI January 2023.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 26}]"
Google 2023.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
2024 Amazon Sara.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 16}]"
OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Tesla Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 15}]"
London 2022 2023.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 16}]"
Boston John 2024.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 16}]"
January 2023 David.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 18}]"
New York New York 2024.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 17}, {'entity': 'DATE', 'start': 18, 'end': 22}]"
OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
January 2023 OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}]"
Alice OpenAI.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
Amazon Emma Alice.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 17}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Amazon Alice.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}]"
Michael Boston January 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'LOC', 'start': 8, 'end': 14}, {'entity': 'DATE', 'start': 15, 'end': 27}]"
2022 2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
New York Boston 2023.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 15}, {'entity': 'DATE', 'start': 16, 'end': 20}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
Alice Alice Boston.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 18}]"
Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}]"
January 2023 Google.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}]"
